,AGE_MEDIAN,S ratio mean,S ratio std,total num,S ratio num
0,4450.0,,,0.0,0.0
1,4350.0,,,2.0,0.0
2,4250.0,,,2.0,2.0
3,4150.0,0.542787,0.04921567464741289,35.0,19.0
4,4050.0,0.509009,0.05004625779216665,55.0,28.0
5,3950.0,0.692432,0.04567061830104777,39.0,27.0
6,3850.0,0.7872979999999999,0.04071853627035235,33.0,26.0
7,3750.0,0.6666280000000001,0.0472583285358253,9.0,6.0
8,3650.0,0.666034,0.04687782891730374,21.0,14.0
9,3550.0,0.678487,0.04714849765368987,31.0,21.0
10,3450.0,0.450546,0.049990017843565535,51.0,23.0
11,3350.0,0.38754099999999997,0.04878158790978416,121.0,47.0
12,3250.0,,,3.0,1.0
13,3150.0,,,0.0,0.0
14,3050.0,,,1.0,1.0
15,2950.0,,,0.0,0.0
